3
0.2721761447142857;0.2261217135714286
0.7947224918333333;0.4174212148333334
0.4871543718;0.8168518678
4
18.0;2.0
0;0.348265448;0.269011835
0;0.344657111;0.165592322
0;0.276023884;0.150339727
0;0.235105096;0.325536645
0;0.029144362;0.158528215
0;0.050047786;0.453949574
0;0.621989326;0.059893677
1;0.767184912;0.721171411
1;0.919303164;0.573783432
1;0.562195095;0.473443426
1;0.903213043;0.004042724
1;0.781520654;0.327890346
1;0.834918083;0.40419595
2;0.234727223;0.757319949
2;0.71667111;0.867750641
2;0.456945687;0.939763359
2;0.563295614;0.704394646
2;0.464132225;0.815030744
